====================================================
 WISP-FLOW INVENTORY — FULL CLEANED SPECIMEN LIST
====================================================
Total DB rows fetched : 3402
Unique specimens      : 1447
Total units in stock  : 39,433
----------------------------------------------------
Out of Stock (0)      : 749
Low Stock    (1-19)   : 308
Medium Stock (20-49)  : 176
High Stock   (50+)    : 214
====================================================

#    | Scientific Name                              | Qty   | Condition    | Family
-----|---------------------------------------------|-------|--------------|--------------------
   1 | Abisara talanthus                            |     0 | Out of Stock | -
   2 | Acanthosturria aurantiaca                    |    73 | High         | Theraphosidae
   3 | Acanthosturria avicularia                    |    22 | Medium       | Theraphosidae
   4 | Acanthosturria jurvenicola                   |    60 | High         | Theraphosidae
   5 | Acanthosturria purpurea                      |     0 | Out of Stock | Theraphosidae
   6 | Acanthosturria sp                            |    18 | Medium       | Theraphosidae
   7 | Acanthosturria versicolor                    |     0 | Out of Stock | Theraphosidae
   8 | Aceraius grandis                             |   420 | High         | Passalidae
   9 | Aceraius rectendens                          |     0 | Out of Stock | Passalidae
  10 | Acherontia atropos                           |    85 | High         | -
  11 | Acherontia styx female                       |     0 | Out of Stock | -
  12 | Achiphasma annulipes female                  |    10 | Medium       | -
  13 | Achiphasma annulipes male                    |    10 | Medium       | -
  14 | Acrea igati                                  |     0 | Out of Stock | -
  15 | Acridoxena sp.                               |     0 | Out of Stock | -
  16 | Acrocinus longimanus                         |    36 | Medium       | Cerambycidae
  17 | Acrophylla sp.                               |     0 | Out of Stock | -
  18 | Actenodes obscuripennis                      |    15 | Medium       | Buprestidae
  19 | Actias dubernardi                            |    55 | High         | -
  20 | Actias maenas                                |     0 | Out of Stock | -
  21 | Actias selene                                |    86 | High         | -
  22 | Actias selene    MALE                        |    70 | High         | -
  23 | Actias selene   FEMALE                       |     0 | Out of Stock | -
  24 | Adelpha lara                                 |     2 | Out of Stock | -
  25 | Adoretus grandis                             |     0 | Out of Stock | Cetonidae
  26 | Adscita statices                             |     0 | Out of Stock | -
  27 | Aenea argynussa                              |     0 | Out of Stock | -
  28 | Aenea cyanea                                 |    50 | Medium       | -
  29 | Aenea glaucone                               |     0 | Out of Stock | -
  30 | Aenea itys                                   |     0 | Out of Stock | -
  31 | Aenea nessus                                 |     7 | Medium       | -
  32 | Aenea philumena                              |     0 | Out of Stock | -
  33 | Aenea ryphea                                 |     0 | Out of Stock | -
  34 | Aenea xenocles                               |     8 | Medium       | -
  35 | Agestrata belitungana                        |    38 | Medium       | Cetonidae
  36 | Agestrata orichalca                          |   100 | High         | Cetonidae
  37 | Agestrata samson                             |     0 | Out of Stock | Cetonidae
  38 | Agrias beata x prepona                       |    20 | Out of Stock | -
  39 | Agrias claudina lugens                       |     0 | Out of Stock | -
  40 | Agrias sp.                                   |    22 | Medium       | -
  41 | Agrias tryphon                               |     0 | Out of Stock | -
  42 | Alcidis agathyrsus                           |     0 | Out of Stock | Danaidae
  43 | Alcidis metaurus                             |    20 | Medium       | -
  44 | Alcidis orontes                              |    40 | Medium       | -
  45 | Alcidis zodiaka                              |     0 | Out of Stock | -
  46 | Allotopus moellenkampi                       |     4 | Low          | Lucanidae
  47 | Allotopus rosenbergi                         |     2 | Low          | Lucanidae
  48 | Amathusia phidipus                           |     0 | Out of Stock | -
  49 | Amathuxidia amythaon                         |     0 | Out of Stock | -
  50 | Amblypygi sp                                 |     0 | Out of Stock | Phrynidae
  51 | Amblysterna natalensis                       |    10 | Medium       | Cetonidae
  52 | Ambragaena ambra                             |     0 | Out of Stock | -
  53 | Ambragaena anubra                            |     0 | Out of Stock | -
  54 | Anax junius                                  |     0 | Out of Stock | -
  55 | Ancyluris endaemon                           |     0 | Out of Stock | -
  56 | Ancyluris formisissima                       |    10 | Medium       | -
  57 | Ancyluris meliboeus                          |    15 | Medium       | -
  58 | Ancyluris mix                                |     0 | Out of Stock | -
  59 | Angamiana floridula                          |     2 | Low          | -
  60 | Anomala grandis                              |     0 | Out of Stock | Ruteline
  61 | Anoplognathus aeneus                         |     7 | Out of Stock | Cetonidae
  62 | Anoplognathus boisduvali                     |     6 | Medium       | Cetonidae
  63 | Anoplognathus daemeli                        |    11 | Medium       | Cetonidae
  64 | Anoplognathus punctulatus                    |    20 | Out of Stock | Cetonidae
  65 | Anoplognathus smaragdinus                    |     2 | Low          | Cetonidae
  66 | Anplophora elegans                           |    10 | Medium       | Cerambycidae
  67 | Anplophora longchirsuta                      |     0 | Out of Stock | Cerambycidae
  68 | Anplophora medemsachi                        |     0 | Out of Stock | Cerambycidae
  69 | Anplophora tonkinesis                        |     0 | Out of Stock | Cerambycidae
  70 | Anplophora zonatrix                          |     0 | Out of Stock | Cerambycidae
  71 | Ant lion palpares                            |    24 | Medium       | -
  72 | Antanartia delius                            |     0 | Out of Stock | Danaidae
  73 | Anteos clorinde                              |    15 | Medium       | -
  74 | Anteos maerula                               |     0 | Out of Stock | -
  75 | Anteos menippe                               |   210 | High         | Danaidae
  76 | Antheraea sp.                                |     0 | Out of Stock | -
  77 | Antherea frithi                              |     0 | Out of Stock | -
  78 | Antherina suraka comorana                    |     0 | Out of Stock | Danaidae
  79 | Anthrea sp.                                  |     0 | Out of Stock | -
  80 | Antinous sp                                  |    44 | Medium       | Theraphosidae
  81 | Apatura chevana                              |     0 | Out of Stock | -
  82 | Apatura parisatis                            |     0 | Out of Stock | -
  83 | Apaturina erminea                            |     0 | Out of Stock | -
  84 | Aphaena aurentia                             |     0 | Out of Stock | -
  85 | Aphaena s. burmanica                         |     0 | Out of Stock | -
  86 | Aphaena submaculata                          |     0 | Out of Stock | -
  87 | Aphonopelma insubtilis                       |     7 | Medium       | Theraphosidae
  88 | Apidae sp                                    |     6 | Medium       | -
  89 | Aplopelma laoticus                           |     0 | Out of Stock | Theraphosidae
  90 | Aplosonyx smaragdippenis                     |     0 | Out of Stock | Chrysomelidae
  91 | Appias albina                                |   118 | High         | -
  92 | Appias celestina                             |     0 | Out of Stock | -
  93 | Appias epaphia                               |     0 | Out of Stock | -
  94 | Appias indra                                 |     0 | Out of Stock | -
  95 | Appias ithome                                |     0 | Out of Stock | Danaidae
  96 | Appias lyncida                               |     0 | Out of Stock | Danaidae
  97 | Appias nero                                  |    10 | Medium       | -
  98 | Appias nero zarinda                          |     0 | Out of Stock | -
